TAG,Total
性价比高,71954
出行方便,67161
交通便利,47965
离地铁站近,33953
设施齐全,28330
服务周到,25523
吃饭方便,23790
前台热情,14611
位置优越,11056
价格实惠,10298
地理位置好,9934
服务态度好,9717
购物方便,8706
离火车站近,4774
老板热情,2966
环境优雅,2886
餐饮不错,2223
离景点近,1909
在市中心,1851
温泉不错,1308
床品舒适,1091
贴心服务,852
离商业街近,825
接送机方便,650
离车站近,634
离市区近,362
逛街方便,325
私密性好,315
去机场方便,252
离汽车站近,242
吃喝玩乐方便,233
空气清新,216
离小吃街近,213
离步行街近,204
离海边近,199
设施设备好,171
古色古香,157
离展馆近,153
转机方便,139
大堂气派,134
离高铁站近,100
离南站近,87
设计有特色,67
离北站近,55
夜景美,53
有历史感,46
卫浴干净,42
离城墙近,40
适合度假,38
离码头近,27
风景优美,24
湖景美,17
离夜市近,13
离高铁近,12
有私人海滩,10
离东站近,8
离美食街近,7
人文特色,5
无敌海景,4
依山傍水,3
民俗特色,3
离古城近,3
